Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:57:49

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
478.0000      	20920.5021    	0.00021       
479.0000      	20876.8267    	0.00026       
480.0000      	20833.3333    	0.00104       
481.0000      	20790.0208    	0.00056       
482.0000      	20746.8880    	0.00064       
483.0000      	20703.9337    	-0.00030      
484.0000      	20661.1570    	-0.00072      
485.0000      	20618.5567    	-0.00033      
486.0000      	20576.1317    	0.00000       
487.0000      	20533.8809    	-0.00021      
488.0000      	20491.8033    	0.00078       
489.0000      	20449.8978    	0.00045       
490.0000      	20408.1633    	0.00050       
491.0000      	20366.5988    	0.00052       
492.0000      	20325.2033    	0.00022       
493.0000      	20283.9757    	0.00034       
494.0000      	20242.9150    	0.00063       
495.0000      	20202.0202    	0.00035       
496.0000      	20161.2903    	0.00007       
497.0000      	20120.7243    	0.00029       
498.0000      	20080.3213    	-0.00027      
499.0000      	20040.0802    	-0.00029      
500.0000      	20000.0000    	-0.00034      
501.0000      	19960.0798    	0.00028       
502.0000      	19920.3187    	0.00027       
503.0000      	19880.7157    	-0.00022      
504.0000      	19841.2698    	0.00027       
505.0000      	19801.9802    	0.00078       
506.0000      	19762.8458    	0.00049       
507.0000      	19723.8659    	0.00024       
508.0000      	19685.0394    	0.00039       
509.0000      	19646.3654    	0.00039       
510.0000      	19607.8431    	-0.00012      
511.0000      	19569.4716    	0.00028       
512.0000      	19531.2500    	0.00002       
513.0000      	19493.1774    	0.00030       
514.0000      	19455.2529    	0.00026       
515.0000      	19417.4757    	-0.00011      
516.0000      	19379.8450    	-0.00010      
517.0000      	19342.3598    	-0.00065      
518.0000      	19305.0193    	-0.00025      
519.0000      	19267.8227    	-0.00034      
520.0000      	19230.7692    	-0.00017      
521.0000      	19193.8580    	0.00006       
522.0000      	19157.0881    	0.00031       
523.0000      	19120.4589    	-0.00020      
524.0000      	19083.9695    	0.00012       
525.0000      	19047.6190    	0.00091       
526.0000      	19011.4068    	0.00032       
527.0000      	18975.3321    	0.00049       
528.0000      	18939.3939    	0.00002       
529.0000      	18903.5917    	-0.00009      
530.0000      	18867.9245    	-0.00001      
531.0000      	18832.3917    	-0.00003      
532.0000      	18796.9925    	0.00037       
533.0000      	18761.7261    	-0.00039      
534.0000      	18726.5918    	-0.00051      
535.0000      	18691.5888    	-0.00073      
536.0000      	18656.7164    	0.00013       
537.0000      	18621.9739    	0.00017       
538.0000      	18587.3606    	0.00003       
539.0000      	18552.8757    	0.00071       
540.0000      	18518.5185    	0.00085       
541.0000      	18484.2884    	0.00044       
542.0000      	18450.1845    	-0.00010      
543.0000      	18416.2063    	-0.00007      
544.0000      	18382.3529    	-0.00001      
545.0000      	18348.6239    	-0.00022      
546.0000      	18315.0183    	0.00085       
547.0000      	18281.5356    	0.00053       
548.0000      	18248.1752    	-0.00004      
549.0000      	18214.9362    	0.00005       
550.0000      	18181.8182    	0.00065       
551.0000      	18148.8203    	0.00060       
552.0000      	18115.9420    	0.00012       
553.0000      	18083.1826    	0.00052       
554.0000      	18050.5415    	0.00017       
555.0000      	18018.0180    	-0.00035      
556.0000      	17985.6115    	-0.00026      
557.0000      	17953.3214    	-0.00029      
558.0000      	17921.1470    	-0.00012      
559.0000      	17889.0877    	-0.00010      
560.0000      	17857.1429    	0.00043       
561.0000      	17825.3119    	-0.00015      
562.0000      	17793.5943    	-0.00032      
563.0000      	17761.9893    	-0.00038      
564.0000      	17730.4965    	-0.00011      
565.0000      	17699.1150    	-0.00036      
566.0000      	17667.8445    	0.00027       
567.0000      	17636.6843    	-0.00003      
568.0000      	17605.6338    	-0.00078      
569.0000      	17574.6924    	0.00048       
570.0000      	17543.8596    	0.00019       
571.0000      	17513.1349    	0.00033       
572.0000      	17482.5175    	0.00058       
573.0000      	17452.0070    	-0.00017      
574.0000      	17421.6028    	0.00038       
575.0000      	17391.3043    	0.00138       
576.0000      	17361.1111    	0.00017       
577.0000      	17331.0225    	0.00019       
578.0000      	17301.0381    	0.00032       
579.0000      	17271.1572    	-0.00022      
580.0000      	17241.3793    	0.00008       
581.0000      	17211.7040    	0.00050       
582.0000      	17182.1306    	-0.00007      
583.0000      	17152.6587    	0.00060       
584.0000      	17123.2877    	-0.00037      
585.0000      	17094.0171    	-0.00009      
586.0000      	17064.8464    	0.00042       
587.0000      	17035.7751    	0.00028       
588.0000      	17006.8027    	-0.00030      
589.0000      	16977.9287    	0.00031       
590.0000      	16949.1525    	-0.00019      
591.0000      	16920.4738    	-0.00015      
592.0000      	16891.8919    	0.00077       
593.0000      	16863.4064    	0.00060       
594.0000      	16835.0168    	-0.00081      
595.0000      	16806.7227    	0.00034       
596.0000      	16778.5235    	0.00095       
597.0000      	16750.4188    	0.00027       
598.0000      	16722.4080    	0.00015       
599.0000      	16694.4908    	-0.00002      
600.0000      	16666.6667    	-0.00020      
601.0000      	16638.9351    	0.00029       
602.0000      	16611.2957    	-0.00008      
603.0000      	16583.7479    	-0.00044      
604.0000      	16556.2914    	-0.00071      
605.0000      	16528.9256    	-0.00089      
606.0000      	16501.6502    	-0.00070      
607.0000      	16474.4646    	0.00033       
608.0000      	16447.3684    	-0.00005      
609.0000      	16420.3612    	0.00025       
610.0000      	16393.4426    	0.00024       
611.0000      	16366.6121    	0.00038       
612.0000      	16339.8693    	-0.00031      
613.0000      	16313.2137    	-0.00007      
614.0000      	16286.6450    	-0.00060      
615.0000      	16260.1626    	-0.00028      
616.0000      	16233.7662    	0.00036       
617.0000      	16207.4554    	-0.00025      
618.0000      	16181.2298    	0.00032       
619.0000      	16155.0889    	0.00033       
620.0000      	16129.0323    	0.00005       
621.0000      	16103.0596    	0.00077       
622.0000      	16077.1704    	0.00079       
623.0000      	16051.3644    	0.00078       
624.0000      	16025.6410    	0.00068       
625.0000      	16000.0000    	-0.00027      
626.0000      	15974.4409    	0.00023       
627.0000      	15948.9633    	-0.00014      
628.0000      	15923.5669    	-0.00009      
629.0000      	15898.2512    	0.00069       
630.0000      	15873.0159    	0.00002       
631.0000      	15847.8605    	0.00071       
632.0000      	15822.7848    	0.00097       
633.0000      	15797.7883    	0.00081       
634.0000      	15772.8707    	0.00071       
635.0000      	15748.0315    	0.00064       
636.0000      	15723.2704    	0.00065       
637.0000      	15698.5871    	0.00027       
638.0000      	15673.9812    	-0.00022      
639.0000      	15649.4523    	0.00011       
640.0000      	15625.0000    	0.00044       
641.0000      	15600.6240    	-0.00030      
642.0000      	15576.3240    	-0.00010      
643.0000      	15552.0995    	0.00084       
644.0000      	15527.9503    	0.00020       
645.0000      	15503.8760    	-0.00036      
646.0000      	15479.8762    	-0.00064      
647.0000      	15455.9505    	-0.00049      
648.0000      	15432.0988    	-0.00058      
649.0000      	15408.3205    	0.00138       
650.0000      	15384.6154    	0.00071       
651.0000      	15360.9831    	0.00037       
652.0000      	15337.4233    	0.00041       
653.0000      	15313.9357    	-0.00050      
654.0000      	15290.5199    	0.00079       
655.0000      	15267.1756    	0.00084       
656.0000      	15243.9024    	0.00102       
657.0000      	15220.7002    	0.00028       
658.0000      	15197.5684    	0.00032       
659.0000      	15174.5068    	0.00100       
660.0000      	15151.5152    	0.00070       
661.0000      	15128.5930    	0.00150       
662.0000      	15105.7402    	-0.00002      
663.0000      	15082.9563    	0.00008       
664.0000      	15060.2410    	0.00092       
665.0000      	15037.5940    	-0.00057      
666.0000      	15015.0150    	0.00081       
667.0000      	14992.5037    	-0.00009      
668.0000      	14970.0599    	0.00037       
669.0000      	14947.6831    	0.00020       
670.0000      	14925.3731    	0.00138       
671.0000      	14903.1297    	0.00100       
672.0000      	14880.9524    	0.00027       
673.0000      	14858.8410    	0.00063       
674.0000      	14836.7953    	0.00026       
675.0000      	14814.8148    	0.00036       
676.0000      	14792.8994    	-0.00025      
677.0000      	14771.0487    	0.00027       
678.0000      	14749.2625    	0.00021       
679.0000      	14727.5405    	0.00072       
680.0000      	14705.8824    	0.00033       
681.0000      	14684.2878    	-0.00029      
682.0000      	14662.7566    	0.00174       
683.0000      	14641.2884    	-0.00090      
684.0000      	14619.8830    	-0.00064      
685.0000      	14598.5401    	0.00100       
686.0000      	14577.2595    	-0.00003      
687.0000      	14556.0408    	0.00021       
688.0000      	14534.8837    	-0.00018      
689.0000      	14513.7881    	-0.00120      
690.0000      	14492.7536    	0.00062       
691.0000      	14471.7800    	0.00083       
692.0000      	14450.8671    	-0.00013      
693.0000      	14430.0144    	0.00005       
694.0000      	14409.2219    	0.00088       
695.0000      	14388.4892    	-0.00234      
696.0000      	14367.8161    	-0.00018      
697.0000      	14347.2023    	-0.00037      
698.0000      	14326.6476    	0.00018       
699.0000      	14306.1516    	-0.00018      
700.0000      	14285.7143    	-0.00029      
701.0000      	14265.3352    	-0.00084      
702.0000      	14245.0142    	0.00044       
703.0000      	14224.7511    	-0.00053      
704.0000      	14204.5455    	-0.00031      
705.0000      	14184.3972    	-0.00043      
706.0000      	14164.3059    	-0.00084      
707.0000      	14144.2716    	0.00026       
708.0000      	14124.2938    	0.00017       
709.0000      	14104.3724    	-0.00059      
710.0000      	14084.5070    	-0.00038      
711.0000      	14064.6976    	-0.00030      
712.0000      	14044.9438    	-0.00118      
713.0000      	14025.2454    	0.00030       
714.0000      	14005.6022    	0.00078       
715.0000      	13986.0140    	-0.00162      
716.0000      	13966.4804    	0.00002       
717.0000      	13947.0014    	0.00188       
718.0000      	13927.5766    	0.00070       
719.0000      	13908.2058    	-0.00080      
720.0000      	13888.8889    	-0.00014      
721.0000      	13869.6255    	0.00042       
722.0000      	13850.4155    	0.00061       
723.0000      	13831.2586    	0.00198       
724.0000      	13812.1547    	-0.00046      
725.0000      	13793.1034    	-0.00028      
726.0000      	13774.1047    	0.00088       
727.0000      	13755.1582    	0.00230       
728.0000      	13736.2637    	0.00067       
729.0000      	13717.4211    	0.00158       
730.0000      	13698.6301    	-0.00058      
731.0000      	13679.8906    	0.00017       
732.0000      	13661.2022    	0.00157       
733.0000      	13642.5648    	0.00127       
734.0000      	13623.9782    	-0.00182      
735.0000      	13605.4422    	-0.00074      
736.0000      	13586.9565    	0.00121       
737.0000      	13568.5210    	0.00020       
738.0000      	13550.1355    	0.00045       
739.0000      	13531.7997    	0.00014       
740.0000      	13513.5135    	0.00008       
741.0000      	13495.2767    	-0.00146      
742.0000      	13477.0889    	-0.00317      
743.0000      	13458.9502    	-0.00019      
744.0000      	13440.8602    	0.00108       
745.0000      	13422.8188    	0.00115       
746.0000      	13404.8257    	0.00164       
747.0000      	13386.8809    	0.00045       
748.0000      	13368.9840    	0.00191       
749.0000      	13351.1348    	-0.00107      
750.0000      	13333.3333    	0.00090       
751.0000      	13315.5792    	0.00111       
752.0000      	13297.8723    	-0.00082      
753.0000      	13280.2125    	-0.00066      
754.0000      	13262.5995    	0.00232       
755.0000      	13245.0331    	-0.00017      
756.0000      	13227.5132    	-0.00194      
757.0000      	13210.0396    	-0.00092      
758.0000      	13192.6121    	0.00167       
759.0000      	13175.2306    	0.00240       
760.0000      	13157.8947    	0.01323       
761.0000      	13140.6045    	0.00336       
762.0000      	13123.3596    	0.00036       
763.0000      	13106.1599    	0.00059       
764.0000      	13089.0052    	-0.00039      
765.0000      	13071.8954    	0.00114       
766.0000      	13054.8303    	-0.00212      
767.0000      	13037.8096    	-0.00097      
768.0000      	13020.8333    	-0.00192      
769.0000      	13003.9012    	-0.00248      
770.0000      	12987.0130    	-0.00022      
771.0000      	12970.1686    	0.00170       
772.0000      	12953.3679    	0.00259       
773.0000      	12936.6106    	0.00023       
774.0000      	12919.8966    	-0.00067      
775.0000      	12903.2258    	0.00119       
776.0000      	12886.5979    	0.00048       
777.0000      	12870.0129    	0.00138       
778.0000      	12853.4704    	-0.00034      
779.0000      	12836.9705    	0.00129       
780.0000      	12820.5128    	0.00055       
781.0000      	12804.0973    	0.00090       
782.0000      	12787.7238    	0.00114       
783.0000      	12771.3921    	0.00053       
784.0000      	12755.1020    	-0.00127      
785.0000      	12738.8535    	0.00225       
786.0000      	12722.6463    	-0.00275      
787.0000      	12706.4803    	-0.00015      
788.0000      	12690.3553    	0.00210       
789.0000      	12674.2712    	0.00050       
790.0000      	12658.2278    	-0.00081      
791.0000      	12642.2250    	0.00098       
792.0000      	12626.2626    	0.00341       
793.0000      	12610.3405    	-0.00092      
794.0000      	12594.4584    	0.00240       
795.0000      	12578.6164    	0.00000       
796.0000      	12562.8141    	-0.00321      
797.0000      	12547.0514    	-0.00240      
798.0000      	12531.3283    	0.00044       
799.0000      	12515.6446    	-0.00110      
800.0000      	12500.0000    	-0.00255      
