Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   16:40:34

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
303.0000      	33003.3003    	-0.00593      
304.0000      	32894.7368    	-0.00646      
305.0000      	32786.8852    	-0.01104      
306.0000      	32679.7386    	-0.00979      
307.0000      	32573.2899    	-0.00442      
308.0000      	32467.5325    	-0.00145      
309.0000      	32362.4595    	-0.00330      
310.0000      	32258.0645    	-0.00282      
311.0000      	32154.3408    	0.00077       
312.0000      	32051.2821    	0.00404       
313.0000      	31948.8818    	0.00668       
314.0000      	31847.1338    	-0.00118      
315.0000      	31746.0317    	0.00204       
316.0000      	31645.5696    	-0.00344      
317.0000      	31545.7413    	0.00238       
318.0000      	31446.5409    	0.00597       
319.0000      	31347.9624    	-0.00115      
320.0000      	31250.0000    	0.00124       
321.0000      	31152.6480    	-0.00258      
322.0000      	31055.9006    	0.00043       
323.0000      	30959.7523    	0.00025       
324.0000      	30864.1975    	-0.00105      
325.0000      	30769.2308    	0.00466       
326.0000      	30674.8466    	-0.00193      
327.0000      	30581.0398    	-0.00496      
328.0000      	30487.8049    	-0.00078      
329.0000      	30395.1368    	0.00084       
330.0000      	30303.0303    	-0.00214      
331.0000      	30211.4804    	-0.00381      
332.0000      	30120.4819    	0.00126       
333.0000      	30030.0300    	-0.00052      
334.0000      	29940.1198    	0.00438       
335.0000      	29850.7463    	0.00334       
336.0000      	29761.9048    	-0.00260      
337.0000      	29673.5905    	-0.00150      
338.0000      	29585.7988    	-0.00157      
339.0000      	29498.5251    	-0.00495      
340.0000      	29411.7647    	0.00229       
341.0000      	29325.5132    	-0.00174      
342.0000      	29239.7661    	-0.00303      
343.0000      	29154.5190    	0.00068       
344.0000      	29069.7674    	-0.00144      
345.0000      	28985.5072    	0.00226       
346.0000      	28901.7341    	-0.00156      
347.0000      	28818.4438    	-0.00122      
348.0000      	28735.6322    	0.00006       
349.0000      	28653.2951    	-0.00067      
350.0000      	28571.4286    	0.00087       
351.0000      	28490.0285    	-0.00009      
352.0000      	28409.0909    	-0.00224      
353.0000      	28328.6119    	-0.00084      
354.0000      	28248.5876    	0.00001       
355.0000      	28169.0141    	-0.00059      
356.0000      	28089.8876    	-0.00188      
357.0000      	28011.2045    	-0.00002      
358.0000      	27932.9609    	0.00000       
359.0000      	27855.1532    	-0.00100      
360.0000      	27777.7778    	-0.00495      
361.0000      	27700.8310    	-0.00285      
362.0000      	27624.3094    	0.00072       
363.0000      	27548.2094    	0.00038       
364.0000      	27472.5275    	0.00136       
365.0000      	27397.2603    	0.00027       
366.0000      	27322.4044    	0.00064       
367.0000      	27247.9564    	-0.00019      
368.0000      	27173.9130    	0.00181       
369.0000      	27100.2710    	0.00088       
370.0000      	27027.0270    	0.00073       
371.0000      	26954.1779    	-0.00100      
372.0000      	26881.7204    	0.00107       
373.0000      	26809.6515    	0.00075       
374.0000      	26737.9679    	-0.00005      
375.0000      	26666.6667    	-0.00050      
376.0000      	26595.7447    	-0.00075      
377.0000      	26525.1989    	-0.00123      
378.0000      	26455.0265    	-0.00043      
379.0000      	26385.2243    	0.00079       
380.0000      	26315.7895    	0.00082       
381.0000      	26246.7192    	0.00116       
382.0000      	26178.0105    	0.00081       
383.0000      	26109.6606    	-0.00008      
384.0000      	26041.6667    	-0.00151      
