Unit Serial No : 240-IM0P2424-EU
Integration Time : 180 ms
Time Average: 3
Binning Average: 0
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 03/24/2016   18:28:12

Wavelength(nm)	Wavenumber(1/cm)	Absolute Irradiance(uW/cm^2/nm)
513.0000      	19493.1774    	0.29223       
514.0000      	19455.2529    	0.33368       
515.0000      	19417.4757    	0.38010       
516.0000      	19379.8450    	0.42549       
517.0000      	19342.3598    	0.47247       
518.0000      	19305.0193    	0.52012       
519.0000      	19267.8227    	0.54348       
520.0000      	19230.7692    	0.58600       
521.0000      	19193.8580    	0.62190       
522.0000      	19157.0881    	0.65653       
523.0000      	19120.4589    	0.66540       
524.0000      	19083.9695    	0.67039       
525.0000      	19047.6190    	0.67324       
526.0000      	19011.4068    	0.67481       
527.0000      	18975.3321    	0.67835       
528.0000      	18939.3939    	0.68093       
529.0000      	18903.5917    	0.68052       
530.0000      	18867.9245    	0.66671       
531.0000      	18832.3917    	0.63833       
532.0000      	18796.9925    	0.60791       
533.0000      	18761.7261    	0.59418       
534.0000      	18726.5918    	0.56206       
535.0000      	18691.5888    	0.52865       
536.0000      	18656.7164    	0.49716       
537.0000      	18621.9739    	0.47101       
538.0000      	18587.3606    	0.44083       
539.0000      	18552.8757    	0.42875       
540.0000      	18518.5185    	0.40458       
541.0000      	18484.2884    	0.38589       
542.0000      	18450.1845    	0.36780       
543.0000      	18416.2063    	0.34622       
544.0000      	18382.3529    	0.33171       
545.0000      	18348.6239    	0.32473       
546.0000      	18315.0183    	0.30954       
547.0000      	18281.5356    	0.29512       
548.0000      	18248.1752    	0.27898       
549.0000      	18214.9362    	0.26392       
550.0000      	18181.8182    	0.24992       
551.0000      	18148.8203    	0.24270       
552.0000      	18115.9420    	0.22630       
553.0000      	18083.1826    	0.21296       
554.0000      	18050.5415    	0.19784       
555.0000      	18018.0180    	0.18348       
556.0000      	17985.6115    	0.16976       
557.0000      	17953.3214    	0.15680       
558.0000      	17921.1470    	0.15134       
559.0000      	17889.0877    	0.13892       
560.0000      	17857.1429    	0.12885       
561.0000      	17825.3119    	0.11839       
562.0000      	17793.5943    	0.10996       
